datetime;date;hour;CO2;NH3;CH4;id_channel
2025-09-15 18:11:30;2025-09-15;18:11:30;637.149;2.496;18.344;5
2025-09-15 18:12:34;2025-09-15;18:12:34;643.434;2.182;16.926;5
2025-09-15 18:21:02;2025-09-15;18:21:02;628.7325000000001;2.2265;17.994;5
2025-09-15 18:29:58;2025-09-15;18:29:58;635.701;2.2115;18.4225;5
2025-09-15 18:38:50;2025-09-15;18:38:50;618.0205000000001;2.1420000000000003;16.656;5
2025-09-15 18:47:48;2025-09-15;18:47:48;605.942;1.906;13.373000000000001;5
2025-09-15 18:56:46;2025-09-15;18:56:46;624.8795;1.98;15.607499999999998;5
2025-09-15 19:05:52;2025-09-15;19:05:52;631.2194999999999;1.7255;12.458;5
2025-09-15 19:14:48;2025-09-15;19:14:48;638.1875;1.497;13.27;5
2025-09-15 19:23:48;2025-09-15;19:23:48;636.4110000000001;1.6185;12.754;5
2025-09-15 19:32:54;2025-09-15;19:32:54;644.1445;1.6520000000000001;11.626999999999999;5
2025-09-15 19:41:54;2025-09-15;19:41:54;634.799;1.6524999999999999;10.983;5
2025-09-15 19:50:50;2025-09-15;19:50:50;636.357;1.5354999999999999;9.907499999999999;5
2025-09-15 19:59:44;2025-09-15;19:59:44;663.1095;1.6084999999999998;11.017;5
2025-09-15 20:08:41;2025-09-15;20:08:41;652.4245;1.5795;10.921;5
2025-09-15 20:17:38;2025-09-15;20:17:38;659.3935;1.665;11.497;5
2025-09-15 20:26:34;2025-09-15;20:26:34;635.7555;1.711;8.975;5
2025-09-15 20:35:31;2025-09-15;20:35:31;662.0985000000001;1.587;12.2;5
2025-09-15 20:44:33;2025-09-15;20:44:33;644.3634999999999;1.6284999999999998;10.641;5
2025-09-15 20:53:30;2025-09-15;20:53:30;613.9490000000001;1.7795;8.530000000000001;5
2025-09-15 21:02:34;2025-09-15;21:02:34;629.8530000000001;1.794;11.120999999999999;5
2025-09-15 21:11:29;2025-09-15;21:11:29;633.7335;1.5285;8.5515;5
2025-09-15 21:20:23;2025-09-15;21:20:23;621.245;1.633;7.4955;5
2025-09-15 21:29:24;2025-09-15;21:29:24;640.8385000000001;1.5234999999999999;8.4195;5
2025-09-15 21:38:28;2025-09-15;21:38:28;633.7605000000001;1.4729999999999999;7.482;5
2025-09-15 21:47:32;2025-09-15;21:47:32;647.861;1.609;9.591000000000001;5
2025-09-15 21:56:37;2025-09-15;21:56:37;631.2194999999999;1.5099999999999998;7.547499999999999;5
2025-09-15 22:05:36;2025-09-15;22:05:36;646.7955;1.6305;8.1555;5
2025-09-15 22:14:40;2025-09-15;22:14:40;640.4285;1.5545;8.0085;5
2025-09-15 22:23:42;2025-09-15;22:23:42;640.7835;1.6715;8.9975;5
2025-09-15 22:32:44;2025-09-15;22:32:44;647.643;1.606;9.684999999999999;5
2025-09-15 22:41:37;2025-09-15;22:41:37;643.5985000000001;1.6285;8.9635;5
2025-09-15 22:50:42;2025-09-15;22:50:42;648.9815;1.7675;9.5915;5
2025-09-15 22:59:46;2025-09-15;22:59:46;648.572;1.565;8.94;5
2025-09-15 23:08:50;2025-09-15;23:08:50;642.4235000000001;1.6785;9.284;5
2025-09-15 23:17:48;2025-09-15;23:17:48;646.604;1.68;8.934000000000001;5
2025-09-15 23:26:46;2025-09-15;23:26:46;639.472;1.7345000000000002;8.932;5
2025-09-15 23:35:54;2025-09-15;23:35:54;645.3475;1.8455;8.871;5
2025-09-15 23:44:54;2025-09-15;23:44:54;591.4314999999999;1.9180000000000001;6.17;5
2025-09-15 23:53:52;2025-09-15;23:53:52;609.413;1.7805;8.399000000000001;5
2025-09-16 00:02:54;2025-09-16;00:02:54;592.1424999999999;1.7245;6.3580000000000005;5
2025-09-16 00:11:51;2025-09-16;00:11:51;619.7145;1.8835;7.656499999999999;5
2025-09-16 00:20:52;2025-09-16;00:20:52;671.335;1.712;11.1005;5
2025-09-16 00:29:56;2025-09-16;00:29:56;637.3405;1.63;9.4905;5
2025-09-16 00:38:56;2025-09-16;00:38:56;658.4095;1.6084999999999998;10.055;5
2025-09-16 00:47:54;2025-09-16;00:47:54;612.9655;1.7295;6.5135000000000005;5
2025-09-16 00:56:46;2025-09-16;00:56:46;696.2570000000001;1.62;10.237;5
2025-09-16 01:05:42;2025-09-16;01:05:42;684.78;1.7965;15.357500000000002;5
2025-09-16 01:14:38;2025-09-16;01:14:38;646.249;1.76;8.307;5
2025-09-16 01:23:44;2025-09-16;01:23:44;612.938;1.768;6.516500000000001;5
2025-09-16 01:32:43;2025-09-16;01:32:43;658.3;1.791;12.875;5
2025-09-16 01:41:39;2025-09-16;01:41:39;677.538;2.0765000000000002;13.065999999999999;5
2025-09-16 01:50:38;2025-09-16;01:50:38;673.3845;1.9895;11.251000000000001;5
2025-09-16 01:59:32;2025-09-16;01:59:32;682.9490000000001;1.9180000000000001;12.867;5
2025-09-16 02:08:30;2025-09-16;02:08:30;656.169;2.033;9.6085;5
2025-09-16 02:17:23;2025-09-16;02:17:23;611.0245;2.0905;6.157;5
2025-09-16 02:26:18;2025-09-16;02:26:18;625.918;1.835;7.434;5
2025-09-16 02:35:21;2025-09-16;02:35:21;637.5865;1.8635;7.715999999999999;5
2025-09-16 02:44:20;2025-09-16;02:44:20;620.0425;1.8820000000000001;6.673;5
2025-09-16 02:53:25;2025-09-16;02:53:25;663.328;1.9224999999999999;9.169;5
2025-09-16 03:02:27;2025-09-16;03:02:27;673.0295;1.6335;8.004;5
2025-09-16 03:11:20;2025-09-16;03:11:20;664.831;1.819;9.244;5
2025-09-16 03:20:15;2025-09-16;03:20:15;640.565;1.7759999999999998;7.328;5
2025-09-16 03:29:15;2025-09-16;03:29:15;658.8195000000001;1.7469999999999999;8.619;5
2025-09-16 03:38:12;2025-09-16;03:38:12;746.347;1.8385;17.325499999999998;5
2025-09-16 03:47:08;2025-09-16;03:47:08;694.9725;1.7650000000000001;9.942499999999999;5
2025-09-16 03:56:00;2025-09-16;03:56:00;688.004;1.7485;9.478000000000002;5
2025-09-16 04:05:03;2025-09-16;04:05:03;624.087;1.958;7.1095;5
2025-09-16 04:14:04;2025-09-16;04:14:04;672.7835;2.038;9.036999999999999;5
2025-09-16 04:23:06;2025-09-16;04:23:06;618.5125;1.8285;6.278499999999999;5
2025-09-16 04:32:11;2025-09-16;04:32:11;717.2165;1.9529999999999998;13.9585;5
2025-09-16 04:41:06;2025-09-16;04:41:06;579.681;1.951;4.515;5
2025-09-16 04:50:12;2025-09-16;04:50:12;592.4705;1.909;4.819;5
2025-09-16 04:59:12;2025-09-16;04:59:12;618.485;1.7645;6.1495;5
2025-09-16 05:08:14;2025-09-16;05:08:14;589.5185;1.796;5.3205;5
2025-09-16 05:17:12;2025-09-16;05:17:12;677.019;1.716;7.7844999999999995;5
2025-09-16 05:26:10;2025-09-16;05:26:10;674.45;1.8125;8.5985;5
2025-09-16 05:35:14;2025-09-16;05:35:14;608.9205;1.7269999999999999;5.452999999999999;5
2025-09-16 05:44:16;2025-09-16;05:44:16;617.0095;1.7625;6.2620000000000005;5
2025-09-16 05:53:16;2025-09-16;05:53:16;640.155;1.882;7.8075;5
2025-09-16 06:02:20;2025-09-16;06:02:20;662.481;1.8170000000000002;8.993500000000001;5
