datetime,date,hour,CO2,NH3,CH4,id_channel
2025-09-15 18:16:31,2025-09-15,18:16:31,788.976,2.394,32.218,11.0
2025-09-15 18:25:30,2025-09-15,18:25:30,669.613,1.994,24.696,11.0
2025-09-15 18:34:24,2025-09-15,18:34:24,665.788,1.636,20.997,11.0
2025-09-15 18:43:17,2025-09-15,18:43:17,776.024,1.697,35.95,11.0
2025-09-15 18:52:12,2025-09-15,18:52:12,612.665,1.246,15.577,11.0
2025-09-15 19:01:19,2025-09-15,19:01:19,633.815,1.386,13.701,11.0
2025-09-15 19:10:22,2025-09-15,19:10:22,629.99,1.312,14.205,11.0
2025-09-15 19:19:14,2025-09-15,19:19:14,614.468,1.077,12.101,11.0
2025-09-15 19:28:19,2025-09-15,19:28:19,670.378,1.426,15.228,11.0
2025-09-15 19:37:25,2025-09-15,19:37:25,639.554,1.222,12.614,11.0
2025-09-15 19:46:23,2025-09-15,19:46:23,663.601,1.332,13.993,11.0
2025-09-15 19:55:16,2025-09-15,19:55:16,661.415,1.165,14.22,11.0
2025-09-15 20:04:13,2025-09-15,20:04:13,647.424,1.304,10.57,11.0
2025-09-15 20:13:06,2025-09-15,20:13:06,644.527,1.413,11.078,11.0
2025-09-15 20:22:09,2025-09-15,20:22:09,699.727,1.295,15.39,11.0
2025-09-15 20:31:03,2025-09-15,20:31:03,652.889,1.387,12.67,11.0
2025-09-15 20:39:58,2025-09-15,20:39:58,645.238,1.363,13.374,11.0
2025-09-15 20:49:02,2025-09-15,20:49:02,626.601,1.291,13.486,11.0
2025-09-15 20:58:02,2025-09-15,20:58:02,604.084,1.552,12.255,11.0
2025-09-15 21:07:01,2025-09-15,21:07:01,644.09,1.554,10.818,11.0
2025-09-15 21:15:55,2025-09-15,21:15:55,651.414,1.419,13.214,11.0
2025-09-15 21:24:53,2025-09-15,21:24:53,638.898,1.182,9.956,11.0
2025-09-15 21:33:54,2025-09-15,21:33:54,635.291,1.187,11.037,11.0
2025-09-15 21:43:00,2025-09-15,21:43:00,669.504,1.24,9.56,11.0
2025-09-15 21:52:00,2025-09-15,21:52:00,635.291,1.365,9.619,11.0
2025-09-15 22:01:10,2025-09-15,22:01:10,643.38,1.376,8.81,11.0
2025-09-15 22:10:10,2025-09-15,22:10:10,645.784,1.289,8.783,11.0
2025-09-15 22:19:08,2025-09-15,22:19:08,656.715,1.467,10.806,11.0
2025-09-15 22:28:10,2025-09-15,22:28:10,714.976,1.279,11.42,11.0
2025-09-15 22:37:11,2025-09-15,22:37:11,671.472,1.301,11.061,11.0
2025-09-15 22:46:08,2025-09-15,22:46:08,656.66,1.323,11.578,11.0
2025-09-15 22:55:15,2025-09-15,22:55:15,682.894,1.391,12.565,11.0
2025-09-15 23:04:23,2025-09-15,23:04:23,657.863,1.376,12.32,11.0
2025-09-15 23:13:18,2025-09-15,23:13:18,668.903,1.445,12.25,11.0
2025-09-15 23:22:14,2025-09-15,23:22:14,682.02,1.101,12.153,11.0
2025-09-15 23:31:20,2025-09-15,23:31:20,705.63,1.487,20.147,11.0
2025-09-15 23:40:22,2025-09-15,23:40:22,802.64,1.217,17.827,11.0
2025-09-15 23:49:23,2025-09-15,23:49:23,581.895,1.246,6.808,11.0
2025-09-15 23:58:20,2025-09-15,23:58:20,686.064,1.529,12.478,11.0
2025-09-16 00:07:21,2025-09-16,00:07:21,636.603,1.267,11.006,11.0
2025-09-16 00:16:19,2025-09-16,00:16:19,640.374,1.281,8.798,11.0
2025-09-16 00:25:21,2025-09-16,00:25:21,658.573,1.245,10.163,11.0
2025-09-16 00:34:24,2025-09-16,00:34:24,659.557,0.987,11.267,11.0
2025-09-16 00:43:22,2025-09-16,00:43:22,666.99,0.991,15.396,11.0
2025-09-16 00:52:19,2025-09-16,00:52:19,642.123,1.099,8.656,11.0
2025-09-16 01:01:14,2025-09-16,01:01:14,718.637,1.224,18.454,11.0
2025-09-16 01:10:09,2025-09-16,01:10:09,648.408,1.361,9.786,11.0
2025-09-16 01:19:09,2025-09-16,01:19:09,671.034,1.169,10.588,11.0
2025-09-16 01:28:16,2025-09-16,01:28:16,720.714,1.166,12.676,11.0
2025-09-16 01:37:12,2025-09-16,01:37:12,678.139,1.466,16.369,11.0
2025-09-16 01:46:13,2025-09-16,01:46:13,683.933,1.616,14.92,11.0
2025-09-16 01:55:05,2025-09-16,01:55:05,712.844,1.193,15.057,11.0
2025-09-16 02:03:56,2025-09-16,02:03:56,674.805,1.627,15.279,11.0
2025-09-16 02:12:57,2025-09-16,02:12:57,673.111,1.379,10.792,11.0
2025-09-16 02:21:51,2025-09-16,02:21:51,626.601,1.377,7.51,11.0
2025-09-16 02:30:50,2025-09-16,02:30:50,644.965,1.242,9.156,11.0
2025-09-16 02:39:52,2025-09-16,02:39:52,589.819,1.184,7.638,11.0
2025-09-16 02:48:52,2025-09-16,02:48:52,643.598,1.16,6.152,11.0
2025-09-16 02:57:55,2025-09-16,02:57:55,600.04,1.252,6.672,11.0
2025-09-16 03:06:56,2025-09-16,03:06:56,633.815,1.047,9.554,11.0
2025-09-16 03:15:48,2025-09-16,03:15:48,566.045,0.944,4.881,11.0
2025-09-16 03:24:48,2025-09-16,03:24:48,662.399,1.011,9.912,11.0
2025-09-16 03:33:45,2025-09-16,03:33:45,699.345,1.246,13.105,11.0
2025-09-16 03:42:38,2025-09-16,03:42:38,712.953,0.957,8.908,11.0
2025-09-16 03:51:35,2025-09-16,03:51:35,711.369,1.153,10.35,11.0
2025-09-16 04:00:34,2025-09-16,04:00:34,649.665,1.116,8.036,11.0
2025-09-16 04:09:36,2025-09-16,04:09:36,652.234,1.303,8.81,11.0
2025-09-16 04:18:36,2025-09-16,04:18:36,952.171,1.22,42.528,11.0
2025-09-16 04:27:38,2025-09-16,04:27:38,656.879,1.019,8.436,11.0
2025-09-16 04:36:35,2025-09-16,04:36:35,673.931,1.183,8.808,11.0
2025-09-16 04:45:39,2025-09-16,04:45:39,548.72,1.404,3.55,11.0
2025-09-16 04:54:45,2025-09-16,04:54:45,595.175,1.236,4.52,11.0
2025-09-16 05:03:44,2025-09-16,05:03:44,575.883,1.035,3.714,11.0
2025-09-16 05:12:44,2025-09-16,05:12:44,594.301,0.881,6.628,11.0
2025-09-16 05:21:40,2025-09-16,05:21:40,605.778,1.1,5.716,11.0
2025-09-16 05:30:44,2025-09-16,05:30:44,547.299,0.909,4.224,11.0
2025-09-16 05:39:44,2025-09-16,05:39:44,552.874,0.978,2.797,11.0
2025-09-16 05:48:48,2025-09-16,05:48:48,558.503,1.013,4.366,11.0
2025-09-16 05:57:46,2025-09-16,05:57:46,621.682,1.061,6.937,11.0
2025-09-16 06:06:50,2025-09-16,06:06:50,781.981,1.069,23.488,11.0
2025-09-16 06:15:52,2025-09-16,06:15:52,652.015,1.11,7.844,11.0
2025-09-16 06:24:58,2025-09-16,06:24:58,640.538,0.96,8.425,11.0
2025-09-16 06:33:57,2025-09-16,06:33:57,802.804,1.133,15.663,11.0
2025-09-16 06:42:52,2025-09-16,06:42:52,854.506,1.112,20.65,11.0
2025-09-16 06:51:52,2025-09-16,06:51:52,697.159,0.909,11.189,11.0
2025-09-16 07:00:53,2025-09-16,07:00:53,612.501,1.091,6.675,11.0
2025-09-16 07:09:55,2025-09-16,07:09:55,573.369,1.087,5.431,11.0
2025-09-16 07:18:55,2025-09-16,07:18:55,539.041,1.075,3.687,11.0
2025-09-16 07:28:01,2025-09-16,07:28:01,569.707,1.153,5.091,11.0
2025-09-16 07:36:58,2025-09-16,07:36:58,931.895,0.937,34.839,11.0
2025-09-16 07:45:59,2025-09-16,07:45:59,594.52,1.122,7.413,11.0
2025-09-16 07:54:57,2025-09-16,07:54:57,792.911,1.064,15.487,11.0
2025-09-16 08:04:00,2025-09-16,08:04:00,668.411,1.16,12.51,11.0
2025-09-16 08:13:03,2025-09-16,08:13:03,691.693,1.443,12.879,11.0
2025-09-16 08:21:59,2025-09-16,08:21:59,680.653,1.648,12.501,11.0
2025-09-16 08:31:07,2025-09-16,08:31:07,594.246,1.76,8.342,11.0
2025-09-16 08:40:00,2025-09-16,08:40:00,590.858,1.796,8.376,11.0
2025-09-16 08:49:04,2025-09-16,08:49:04,582.55,1.342,7.689,11.0
2025-09-16 08:57:57,2025-09-16,08:57:57,547.682,1.494,7.084,11.0
2025-09-16 09:06:50,2025-09-16,09:06:50,552.928,1.565,7.053,11.0
2025-09-16 09:15:44,2025-09-16,09:15:44,506.358,1.418,4.93,11.0
2025-09-16 09:24:39,2025-09-16,09:24:39,520.579,1.66,5.281,11.0
2025-09-16 09:33:37,2025-09-16,09:33:37,504.063,1.746,4.175,11.0
2025-09-16 09:42:32,2025-09-16,09:42:32,580.638,1.65,8.951,11.0
2025-09-16 09:51:28,2025-09-16,09:51:28,566.537,1.885,8.192,11.0
2025-09-16 10:00:24,2025-09-16,10:00:24,651.304,4.849,109.78,11.0
2025-09-16 10:09:26,2025-09-16,10:09:26,570.09,2.415,22.024,11.0
2025-09-16 10:18:20,2025-09-16,10:18:20,552.436,2.585,20.562,11.0
2025-09-16 10:27:15,2025-09-16,10:27:15,861.119,4.663,81.101,11.0
2025-09-16 10:36:23,2025-09-16,10:36:23,699.345,5.598,100.133,11.0
2025-09-16 10:45:23,2025-09-16,10:45:23,673.931,4.283,74.389,11.0
2025-09-16 10:54:33,2025-09-16,10:54:33,629.115,3.183,39.567,11.0
2025-09-16 11:03:38,2025-09-16,11:03:38,764.382,4.233,79.817,11.0
2025-09-16 11:12:49,2025-09-16,11:12:49,588.617,3.054,38.405,11.0
2025-09-16 11:22:06,2025-09-16,11:22:06,602.882,3.035,40.425,11.0
2025-09-16 11:31:21,2025-09-16,11:31:21,570.964,2.921,43.916,11.0
2025-09-16 11:40:18,2025-09-16,11:40:18,577.741,2.793,36.469,11.0
2025-09-16 11:49:13,2025-09-16,11:49:13,602.226,2.693,31.18,11.0
2025-09-16 11:58:08,2025-09-16,11:58:08,588.125,3.852,57.66,11.0
2025-09-16 12:07:10,2025-09-16,12:07:10,577.796,2.756,35.501,11.0
2025-09-16 12:16:07,2025-09-16,12:16:07,587.797,2.084,23.596,11.0
2025-09-16 12:25:01,2025-09-16,12:25:01,589.273,2.365,33.466,11.0
2025-09-16 12:33:59,2025-09-16,12:33:59,563.914,2.369,30.948,11.0
2025-09-16 12:42:54,2025-09-16,12:42:54,604.904,1.874,27.103,11.0
2025-09-16 12:51:51,2025-09-16,12:51:51,631.629,2.258,31.011,11.0
2025-09-16 13:00:46,2025-09-16,13:00:46,623.705,1.714,21.466,11.0
2025-09-16 13:09:44,2025-09-16,13:09:44,597.689,1.614,19.773,11.0
2025-09-16 13:18:41,2025-09-16,13:18:41,608.784,2.51,19.554,11.0
2025-09-16 13:27:39,2025-09-16,13:27:39,661.197,2.571,22.14,11.0
2025-09-16 13:36:47,2025-09-16,13:36:47,742.193,3.073,42.895,11.0
2025-09-16 13:45:52,2025-09-16,13:45:52,615.998,2.469,27.075,11.0
2025-09-16 13:54:53,2025-09-16,13:54:53,604.794,2.332,25.857,11.0
2025-09-16 14:03:52,2025-09-16,14:03:52,565.116,3.098,42.388,11.0
2025-09-16 14:12:50,2025-09-16,14:12:50,616.709,2.474,27.469,11.0
2025-09-16 14:21:40,2025-09-16,14:21:40,556.754,2.183,23.699,11.0
2025-09-16 14:30:38,2025-09-16,14:30:38,602.718,2.24,28.453,11.0
2025-09-16 14:39:30,2025-09-16,14:39:30,602.554,2.55,35.478,11.0
2025-09-16 14:48:34,2025-09-16,14:48:34,588.89,1.914,15.895,11.0
2025-09-16 14:57:31,2025-09-16,14:57:31,599.493,2.041,23.501,11.0
2025-09-16 15:06:24,2025-09-16,15:06:24,591.514,1.608,15.436,11.0
2025-09-16 15:15:17,2025-09-16,15:15:17,637.259,2.577,39.203,11.0
2025-09-16 15:24:17,2025-09-16,15:24:17,587.524,1.551,12.636,11.0
2025-09-16 15:33:22,2025-09-16,15:33:22,634.854,1.616,16.518,11.0
2025-09-16 15:42:17,2025-09-16,15:42:17,643.544,1.812,21.744,11.0
2025-09-16 15:51:23,2025-09-16,15:51:23,730.934,2.716,45.819,11.0
2025-09-16 16:00:22,2025-09-16,16:00:22,601.297,1.83,14.9,11.0
2025-09-16 16:09:16,2025-09-16,16:09:16,596.487,1.747,14.205,11.0
