datetime,date,hour,CO2,NH3,CH4,id_channel
2025-09-15 18:14:32,2025-09-15,18:14:32,519.5553333333334,0.5513333333333333,3.44,7
2025-09-15 18:23:32,2025-09-15,18:23:32,516.9720000000001,0.709,2.985,7
2025-09-15 18:32:26,2025-09-15,18:32:26,520.0726666666666,0.7376666666666667,3.2546666666666666,7
2025-09-15 18:41:18,2025-09-15,18:41:18,517.3000000000001,0.6916666666666668,2.771333333333333,7
2025-09-15 18:50:15,2025-09-15,18:50:15,515.0883333333334,0.48033333333333333,3.0066666666666664,7
2025-09-15 18:59:15,2025-09-15,18:59:15,518.8846666666667,0.48733333333333334,3.075333333333333,7
2025-09-15 19:08:23,2025-09-15,19:08:23,516.6366666666667,0.5830000000000001,2.9613333333333336,7
2025-09-15 19:17:15,2025-09-15,19:17:15,518.4456666666666,0.5073333333333333,2.8463333333333334,7
2025-09-15 19:26:20,2025-09-15,19:26:20,520.1306666666668,0.6096666666666667,3.0209999999999995,7
2025-09-15 19:35:26,2025-09-15,19:35:26,517.6966666666667,0.5506666666666667,2.9436666666666667,7
2025-09-15 19:44:22,2025-09-15,19:44:22,518.7466666666667,0.507,2.7223333333333333,7
2025-09-15 19:53:18,2025-09-15,19:53:18,521.1149999999999,0.4746666666666666,2.9760000000000004,7
2025-09-15 20:02:14,2025-09-15,20:02:14,520.497,0.6090000000000001,2.8256666666666668,7
2025-09-15 20:11:08,2025-09-15,20:11:08,520.3496666666666,0.6753333333333332,2.7260000000000004,7
2025-09-15 20:20:05,2025-09-15,20:20:05,515.6803333333334,0.4163333333333333,2.9309999999999996,7
2025-09-15 20:29:02,2025-09-15,20:29:02,514.6473333333333,0.637,2.7076666666666664,7
2025-09-15 20:37:59,2025-09-15,20:37:59,517.582,0.5943333333333333,3.015,7
2025-09-15 20:47:02,2025-09-15,20:47:02,517.9666666666666,0.5529999999999999,2.997666666666667,7
2025-09-15 20:56:00,2025-09-15,20:56:00,516.2869999999999,0.5456666666666666,3.0199999999999996,7
2025-09-15 21:05:02,2025-09-15,21:05:02,515.7076666666666,0.48666666666666664,2.7880000000000003,7
2025-09-15 21:13:58,2025-09-15,21:13:58,518.6170000000001,0.593,3.331,7
2025-09-15 21:22:54,2025-09-15,21:22:54,516.1866666666666,0.536,2.763666666666667,7
2025-09-15 21:31:55,2025-09-15,21:31:55,514.8896666666666,0.5619999999999999,2.936666666666667,7
2025-09-15 21:40:59,2025-09-15,21:40:59,515.2773333333333,0.631,2.597,7
2025-09-15 21:50:00,2025-09-15,21:50:00,515.7656666666667,0.5323333333333333,2.7373333333333334,7
2025-09-15 21:59:05,2025-09-15,21:59:05,515.4033333333333,0.5496666666666666,2.9003333333333337,7
2025-09-15 22:08:06,2025-09-15,22:08:06,517.3180000000001,0.434,2.702,7
2025-09-15 22:17:09,2025-09-15,22:17:09,516.3343333333333,0.62,3.0303333333333335,7
2025-09-15 22:26:11,2025-09-15,22:26:11,515.5053333333334,0.62,2.7560000000000002,7
2025-09-15 22:35:13,2025-09-15,22:35:13,515.9336666666667,0.5966666666666667,2.74,7
2025-09-15 22:44:08,2025-09-15,22:44:08,515.653,0.468,3.217333333333334,7
2025-09-15 22:53:11,2025-09-15,22:53:11,514.8496666666667,0.5903333333333333,3.1366666666666667,7
2025-09-15 23:02:18,2025-09-15,23:02:18,516.4163333333333,0.5786666666666667,3.231333333333333,7
2025-09-15 23:11:18,2025-09-15,23:11:18,514.8386666666667,0.602,3.119,7
2025-09-15 23:20:16,2025-09-15,23:20:16,516.8916666666668,0.45933333333333337,3.128,7
2025-09-15 23:29:20,2025-09-15,23:29:20,515.0880000000001,0.6326666666666667,2.8083333333333336,7
2025-09-15 23:38:23,2025-09-15,23:38:23,517.9430000000001,0.5630000000000001,3.128,7
2025-09-15 23:47:23,2025-09-15,23:47:23,514.9663333333334,0.5453333333333333,3.6366666666666667,7
2025-09-15 23:56:20,2025-09-15,23:56:20,515.1046666666667,0.5356666666666666,2.9473333333333334,7
2025-09-16 00:05:22,2025-09-16,00:05:22,515.5893333333333,0.6463333333333333,3.4403333333333332,7
2025-09-16 00:14:20,2025-09-16,00:14:20,515.9403333333333,0.5406666666666666,3.064666666666667,7
2025-09-16 00:23:21,2025-09-16,00:23:21,518.8156666666666,0.5670000000000001,3.3523333333333336,7
2025-09-16 00:32:26,2025-09-16,00:32:26,514.2666666666668,0.547,3.092333333333333,7
2025-09-16 00:41:23,2025-09-16,00:41:23,517.2049999999999,0.4286666666666667,3.1063333333333336,7
2025-09-16 00:50:20,2025-09-16,00:50:20,516.724,0.447,3.116,7
2025-09-16 00:59:15,2025-09-16,00:59:15,516.4639999999999,0.5356666666666666,3.007,7
2025-09-16 01:08:10,2025-09-16,01:08:10,516.152,0.5750000000000001,3.1283333333333334,7
