datetime,date,hour,id_meteo_station,Velocità del vento,dew_point,humidity,temperature,wet_bulb,wind_dir,wind_gust
2025-06-23 00:00:08,2025-06-23,00:00:08,out,0.52,21.6,100.0,21.6,21.623,67.3,1.44
2025-06-23 00:00:24,2025-06-23,00:00:24,in,0.94,1310.8,0.0,21.7,6.835,328.3,1.25
2025-06-23 00:01:11,2025-06-23,00:01:11,out,0.55,21.5,100.0,21.5,21.522,72.4,0.99
2025-06-23 00:01:27,2025-06-23,00:01:27,in,0.94,1310.8,0.0,21.7,6.835,328.3,1.25
2025-06-23 00:02:14,2025-06-23,00:02:14,out,0.66,21.5,100.0,21.5,21.522,70.3,1.1
2025-06-23 00:02:30,2025-06-23,00:02:30,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:03:18,2025-06-23,00:03:18,out,0.78,21.5,100.0,21.5,21.522,80.5,1.12
2025-06-23 00:03:34,2025-06-23,00:03:34,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:04:22,2025-06-23,00:04:22,out,0.61,21.5,100.0,21.5,21.522,88.7,1.2
2025-06-23 00:04:37,2025-06-23,00:04:37,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:05:25,2025-06-23,00:05:25,out,0.97,21.5,100.0,21.5,21.522,82.8,1.1
2025-06-23 00:05:41,2025-06-23,00:05:41,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:06:29,2025-06-23,00:06:29,out,0.75,21.4,100.0,21.4,21.422,79.7,0.97
2025-06-23 00:07:11,2025-06-23,00:07:11,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:07:32,2025-06-23,00:07:32,out,0.77,21.4,100.0,21.4,21.422,91.6,1.15
2025-06-23 00:08:12,2025-06-23,00:08:12,in,0.94,1310.8,0.0,21.5,6.752,328.3,1.25
2025-06-23 00:08:36,2025-06-23,00:08:36,out,0.61,21.4,100.0,21.4,21.422,95.6,1.1
2025-06-23 00:09:16,2025-06-23,00:09:16,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:09:40,2025-06-23,00:09:40,out,0.69,21.4,100.0,21.4,21.422,94.5,0.96
2025-06-23 00:10:20,2025-06-23,00:10:20,in,0.94,1310.8,0.0,21.5,6.752,328.3,1.25
2025-06-23 00:10:43,2025-06-23,00:10:43,out,0.67,21.4,100.0,21.4,21.422,103.8,0.95
2025-06-23 00:11:23,2025-06-23,00:11:23,in,0.94,1310.8,0.0,21.5,6.752,328.3,1.25
2025-06-23 00:11:46,2025-06-23,00:11:46,out,0.54,21.3,100.0,21.3,21.321,108.6,0.89
2025-06-23 00:12:26,2025-06-23,00:12:26,in,0.94,1310.8,0.0,21.5,6.752,328.3,1.25
2025-06-23 00:12:50,2025-06-23,00:12:50,out,0.56,21.3,100.0,21.3,21.321,103.6,0.89
2025-06-23 00:13:30,2025-06-23,00:13:30,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:13:54,2025-06-23,00:13:54,out,0.61,21.3,100.0,21.3,21.321,109.5,0.92
2025-06-23 00:14:34,2025-06-23,00:14:34,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:14:57,2025-06-23,00:14:57,out,0.66,21.3,100.0,21.3,21.321,104.3,0.98
2025-06-23 00:15:37,2025-06-23,00:15:37,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:16:00,2025-06-23,00:16:00,out,0.78,21.3,100.0,21.3,21.321,125.4,1.12
2025-06-23 00:16:41,2025-06-23,00:16:41,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:17:04,2025-06-23,00:17:04,out,0.9,21.3,100.0,21.3,21.321,129.4,1.12
2025-06-23 00:17:44,2025-06-23,00:17:44,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:18:08,2025-06-23,00:18:08,out,0.77,21.3,100.0,21.3,21.321,116.7,0.98
2025-06-23 00:18:48,2025-06-23,00:18:48,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:19:11,2025-06-23,00:19:11,out,0.89,21.3,100.0,21.2,21.22,124.8,1.24
2025-06-23 00:19:52,2025-06-23,00:19:52,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:20:14,2025-06-23,00:20:14,out,0.71,21.2,100.0,21.2,21.22,118.1,1.19
2025-06-23 00:20:55,2025-06-23,00:20:55,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:21:18,2025-06-23,00:21:18,out,0.71,21.2,100.0,21.2,21.22,117.7,1.11
2025-06-23 00:21:58,2025-06-23,00:21:58,in,0.94,1310.8,0.0,21.6,6.793,328.3,1.25
2025-06-23 00:22:22,2025-06-23,00:22:22,out,0.82,21.2,100.0,21.2,21.22,129.3,1.0
2025-06-23 00:23:02,2025-06-23,00:23:02,in,0.94,1310.8,0.0,21.7,6.835,328.3,1.25
2025-06-23 00:23:25,2025-06-23,00:23:25,out,0.62,21.2,100.0,21.2,21.22,123.9,1.07
2025-06-23 00:24:06,2025-06-23,00:24:06,in,0.96,1310.8,0.0,21.7,6.835,327.6,0.75
2025-06-23 00:24:28,2025-06-23,00:24:28,out,0.79,21.2,100.0,21.2,21.22,93.2,1.36
2025-06-23 00:25:09,2025-06-23,00:25:09,in,0.99,1310.8,0.0,21.7,6.835,327.0,1.23
2025-06-23 00:25:32,2025-06-23,00:25:32,out,0.8,21.2,100.0,21.2,21.22,101.9,1.13
2025-06-23 00:26:12,2025-06-23,00:26:12,in,0.85,1310.8,0.0,21.7,6.835,332.5,1.05
2025-06-23 00:26:36,2025-06-23,00:26:36,out,0.76,21.2,100.0,21.2,21.22,84.8,1.01
2025-06-23 00:27:16,2025-06-23,00:27:16,in,0.85,1310.8,0.0,21.6,6.793,326.6,1.21
2025-06-23 00:27:39,2025-06-23,00:27:39,out,0.61,21.2,100.0,21.2,21.22,65.1,1.0
2025-06-23 00:28:20,2025-06-23,00:28:20,in,0.65,1310.8,0.0,21.6,6.793,337.9,0.83
2025-06-23 00:28:42,2025-06-23,00:28:42,out,0.69,21.1,100.0,21.2,21.22,87.4,0.87
2025-06-23 00:29:23,2025-06-23,00:29:23,in,0.79,1310.8,0.0,21.6,6.793,330.1,1.1
2025-06-23 00:29:46,2025-06-23,00:29:46,out,1.16,21.1,100.0,21.1,21.119,74.2,1.24
2025-06-23 00:30:26,2025-06-23,00:30:26,in,0.81,1310.8,0.0,21.6,6.793,335.4,1.18
