date,id_rabbit,hour,NH3,CO2,temperature,humidity,datetime,H2S,PM_1_0,PM_2_5,PM_4_0,PM_10
2024-04-01,6,19:54:53,,736.0,21.8,53.5,2024-04-01 19:54:53,,,,,
2024-04-01,6,20:04:54,,725.0,21.8,53.5,2024-04-01 20:04:54,,,,,
2024-04-01,6,20:14:54,,733.0,21.8,53.5,2024-04-01 20:14:54,,,,,
2024-04-01,6,20:24:54,,727.0,21.8,53.5,2024-04-01 20:24:54,,,,,
2024-04-01,6,20:34:54,,739.0,21.8,53.5,2024-04-01 20:34:54,,,,,
2024-04-01,6,20:44:54,,724.0,21.8,53.5,2024-04-01 20:44:54,,,,,
2024-04-01,6,20:54:54,,721.0,21.9,53.6,2024-04-01 20:54:54,,,,,
2024-04-01,6,21:04:55,,721.0,21.8,53.6,2024-04-01 21:04:55,,,,,
2024-04-01,6,21:14:55,,716.0,21.8,53.6,2024-04-01 21:14:55,,,,,
2024-05-08,2,12:30:36,,614.0,19.9,54.6,2024-05-08 12:30:36,,,,,
2024-05-08,2,12:40:36,0.6,588.0,19.9,55.7,2024-05-08 12:40:36,,,,,
2024-05-08,2,12:50:35,0.9,597.0,20.1,56.7,2024-05-08 12:50:35,,,,,
2024-05-08,2,13:00:35,0.6,605.0,20.4,56.3,2024-05-08 13:00:35,,,,,
2024-05-08,2,13:10:35,0.8,619.0,20.7,56.4,2024-05-08 13:10:35,,,,,
2024-05-08,2,13:20:35,0.8,588.0,20.9,56.1,2024-05-08 13:20:35,,,,,
2024-05-08,2,13:30:35,1.1,598.0,20.9,55.4,2024-05-08 13:30:35,,,,,
2024-05-08,2,13:40:36,0.1,552.0,20.9,54.7,2024-05-08 13:40:36,,,,,
2024-05-08,2,13:50:36,0.2,577.0,21.0,55.3,2024-05-08 13:50:36,,,,,
2024-05-08,2,14:00:36,0.5,583.0,21.1,56.0,2024-05-08 14:00:36,,,,,
2024-05-08,2,14:10:36,0.5,594.0,21.3,55.9,2024-05-08 14:10:36,,,,,
2024-05-08,2,14:20:36,0.7,593.0,21.6,54.6,2024-05-08 14:20:36,,,,,
2024-05-08,2,14:30:36,0.7,610.0,21.4,54.7,2024-05-08 14:30:36,,,,,
2024-05-08,2,14:40:36,,542.0,20.5,55.1,2024-05-08 14:40:36,,,,,
2024-05-08,2,14:50:36,,567.0,19.9,58.1,2024-05-08 14:50:36,,,,,
2024-05-08,2,15:00:36,,624.0,19.9,59.9,2024-05-08 15:00:36,,,,,
2024-05-08,2,15:10:36,0.1,627.0,19.9,61.5,2024-05-08 15:10:36,,,,,
2024-05-08,2,15:20:36,0.2,616.0,19.6,64.0,2024-05-08 15:20:36,,,,,
2024-05-08,2,15:30:36,0.1,588.0,19.4,63.8,2024-05-08 15:30:36,,,,,
2024-05-08,2,15:40:36,,614.0,19.2,66.7,2024-05-08 15:40:36,,,,,
2024-05-08,2,15:50:35,,606.0,18.5,67.4,2024-05-08 15:50:35,,,,,
2024-05-08,2,16:00:35,,592.0,17.8,69.0,2024-05-08 16:00:35,,,,,
2024-05-08,2,16:10:35,,648.0,17.5,74.1,2024-05-08 16:10:35,,,,,
2024-05-08,3,12:40:37,0.1,,19.9,,2024-05-08 12:40:37,,,,,
2024-05-08,3,12:50:36,0.8,,,,2024-05-08 12:50:36,,,,,
2024-05-08,3,13:00:37,0.7,,,,2024-05-08 13:00:37,,,,,
2024-05-08,3,13:10:37,0.8,,20.5,,2024-05-08 13:10:37,,,,,
2024-05-08,3,13:20:36,0.9,,,,2024-05-08 13:20:36,,,,,
2024-05-08,3,13:30:37,1.0,,,,2024-05-08 13:30:37,,,,,
2024-05-08,3,13:40:37,0.1,,,,2024-05-08 13:40:37,,,,,
2024-05-08,3,13:50:37,0.2,,,,2024-05-08 13:50:37,,,,,
2024-05-08,3,14:00:37,0.5,,,,2024-05-08 14:00:37,,,,,
2024-05-08,3,14:10:37,0.6,,,,2024-05-08 14:10:37,,,,,
2024-05-08,3,14:20:37,0.6,,,,2024-05-08 14:20:37,,,,,
2024-05-08,3,14:30:37,0.7,,21.1,,2024-05-08 14:30:37,,,,,
2024-05-08,3,15:00:37,0.4,,19.9,,2024-05-08 15:00:37,,,,,
2024-05-08,3,15:10:37,0.5,,19.9,,2024-05-08 15:10:37,,,,,
2024-05-08,3,15:20:37,0.5,,19.6,,2024-05-08 15:20:37,,,,,
2024-05-08,3,15:30:37,0.5,,19.5,,2024-05-08 15:30:37,,,,,
2024-05-08,3,15:40:37,0.4,,19.2,,2024-05-08 15:40:37,,,,,
2024-05-08,3,15:50:36,0.2,,18.5,,2024-05-08 15:50:36,,,,,
2024-05-08,3,16:00:36,0.2,,17.8,,2024-05-08 16:00:36,,,,,
