1,2,3,4,5,6,Timestamp,Entity Name
,NaN,,,,,2025-09-18 10:10:36,DEV_FARM60_TYPE11_ID2
,,NaN,,,,2025-09-18 10:10:37,DEV_FARM60_TYPE11_ID3
,,,NaN,,,2025-09-18 10:10:38,DEV_FARM60_TYPE11_ID4
,,,,NaN,,2025-09-18 10:10:39,DEV_FARM60_TYPE11_ID5
,,,,,NaN,2025-09-18 10:10:39,DEV_FARM60_TYPE11_ID6
,"60,40000000000001",,,,,2025-09-18 10:20:36,DEV_FARM60_TYPE11_ID2
,,"56,40000000000001",,,,2025-09-18 10:20:37,DEV_FARM60_TYPE11_ID3
,,,"58,1",,,2025-09-18 10:20:38,DEV_FARM60_TYPE11_ID4
,,,,"52,7",,2025-09-18 10:20:39,DEV_FARM60_TYPE11_ID5
,,,,,"60,3",2025-09-18 10:20:39,DEV_FARM60_TYPE11_ID6
,"59,7",,,,,2025-09-18 10:30:36,DEV_FARM60_TYPE11_ID2
,,"55,7",,,,2025-09-18 10:30:37,DEV_FARM60_TYPE11_ID3
,,,"57,5",,,2025-09-18 10:30:38,DEV_FARM60_TYPE11_ID4
,,,,"51,7",,2025-09-18 10:30:39,DEV_FARM60_TYPE11_ID5
,,,,,"59,5",2025-09-18 10:30:39,DEV_FARM60_TYPE11_ID6
,"60,6",,,,,2025-09-18 10:40:36,DEV_FARM60_TYPE11_ID2
,,"56,5",,,,2025-09-18 10:40:36,DEV_FARM60_TYPE11_ID3
,,,"57,8",,,2025-09-18 10:40:38,DEV_FARM60_TYPE11_ID4
,,,,53,,2025-09-18 10:40:39,DEV_FARM60_TYPE11_ID5
,,,,,"59,3",2025-09-18 10:40:40,DEV_FARM60_TYPE11_ID6
,"57,90000000000001",,,,,2025-09-18 10:50:36,DEV_FARM60_TYPE11_ID2
,,"55,6",,,,2025-09-18 10:50:36,DEV_FARM60_TYPE11_ID3
,,,"56,40000000000001",,,2025-09-18 10:50:38,DEV_FARM60_TYPE11_ID4
,,,,"51,5",,2025-09-18 10:50:39,DEV_FARM60_TYPE11_ID5
,,,,,"58,8",2025-09-18 10:50:40,DEV_FARM60_TYPE11_ID6
,"58,1",,,,,2025-09-18 11:00:36,DEV_FARM60_TYPE11_ID2
,,"55,5",,,,2025-09-18 11:00:36,DEV_FARM60_TYPE11_ID3
,,,"56,6",,,2025-09-18 11:00:38,DEV_FARM60_TYPE11_ID4
,,,,"52,5",,2025-09-18 11:00:39,DEV_FARM60_TYPE11_ID5
,,,,,"57,90000000000001",2025-09-18 11:00:40,DEV_FARM60_TYPE11_ID6
,"57,40000000000001",,,,,2025-09-18 11:10:36,DEV_FARM60_TYPE11_ID2
,,"54,5",,,,2025-09-18 11:10:36,DEV_FARM60_TYPE11_ID3
,,,"55,8",,,2025-09-18 11:10:38,DEV_FARM60_TYPE11_ID4
,,,,"52,1",,2025-09-18 11:10:39,DEV_FARM60_TYPE11_ID5
,,,,,"57,1",2025-09-18 11:10:40,DEV_FARM60_TYPE11_ID6
,"57,1",,,,,2025-09-18 11:20:36,DEV_FARM60_TYPE11_ID2
,,"53,7",,,,2025-09-18 11:20:36,DEV_FARM60_TYPE11_ID3
,,,"55,5",,,2025-09-18 11:20:38,DEV_FARM60_TYPE11_ID4
,,,,"50,6",,2025-09-18 11:20:39,DEV_FARM60_TYPE11_ID5
,,,,,"56,6",2025-09-18 11:20:40,DEV_FARM60_TYPE11_ID6
,"55,40000000000001",,,,,2025-09-18 11:30:36,DEV_FARM60_TYPE11_ID2
,,"52,2",,,,2025-09-18 11:30:37,DEV_FARM60_TYPE11_ID3
,,,"53,90000000000001",,,2025-09-18 11:30:38,DEV_FARM60_TYPE11_ID4
,,,,49,,2025-09-18 11:30:39,DEV_FARM60_TYPE11_ID5
,,,,,"55,1",2025-09-18 11:30:40,DEV_FARM60_TYPE11_ID6
,"54,7",,,,,2025-09-18 11:40:36,DEV_FARM60_TYPE11_ID2
